A,B,Class
-0.78283,-1.907111,2
-0.686382,-1.922308,2
1.913015,-1.430903,2
-1.865581,-0.711934,2
-0.637037,-2.259492,2
0.850971,-1.73305,2
0.046388,-2.100417,2
-1.872406,-0.792599,2
0.716558,-1.915097,2
-1.735145,-0.819554,2
-1.219081,-1.80732,2
-0.492039,-1.98555,2
-1.249234,-1.997357,2
-0.320726,-2.31453,2
0.484055,-2.182857,2
2.184991,-0.272014,2
-1.014297,-1.986404,2
2.035125,-0.65624,2
-2.146442,-0.070458,2
2.226491,-0.264035,2
0.42823,-1.826925,2
-0.448891,-1.969961,2
-0.483127,-1.919757,2
-1.089611,-1.516229,2
-1.300285,-1.642941,2
1.653364,-1.39313,2
1.69495,-1.287279,2
-0.00932,-1.903803,2
0.388106,-2.092822,2
-1.422241,-1.676094,2
0.224837,-2.171974,2
1.933461,-1.218224,2
2.068895,-1.153152,2
1.998286,-1.067652,2
-1.82123,-0.700679,2
-1.686475,-0.9551,2
-1.918544,-0.21001,2
-1.620287,-1.093616,2
-1.81945,-0.881615,2
1.17348,-1.809433,2
1.253374,-1.511828,2
2.112269,-0.23648,2
1.903365,-0.232194,2
0.338447,-2.014786,2
2.081761,-0.159867,2
0.746088,-2.196401,2
-1.855656,-0.095347,2
2.151861,-1.005499,2
0.573413,-2.303854,2
0.55429,-2.139309,2
1.254273,-2.009763,2
0.46368,-1.900488,2
-1.863058,-1.366634,2
1.857871,-0.472621,2
2.296647,-0.233234,2
1.222657,-1.487368,2
1.883581,-0.442441,2
-0.562077,-2.221269,2
-1.624178,-1.469771,2
1.484007,-1.226121,2
-2.198452,-0.253133,2
-1.967594,-0.55779,2
2.149956,-0.601941,2
-0.051375,-2.005252,2
1.115026,-1.939207,2
-0.649663,-1.963092,2
-1.393763,-1.832154,2
-1.239666,-1.688156,2
-1.891654,-0.117615,2
-0.811328,-2.009621,2
2.010941,-0.226898,2
0.512268,-1.7987,2
-1.877176,-0.766306,2
0.756341,-2.004319,2
-0.686301,-1.81448,2
0.284883,-1.999447,2
-0.62868,-1.749224,2
0.372926,-2.144464,2
-0.163456,-2.152597,2
-2.034784,-0.148793,2
0.483282,-2.068216,2
0.251931,-2.21745,2
0.944258,-2.179929,2
-1.704325,-1.173958,2
-0.267692,-2.300595,2
-1.787759,-1.42361,2
1.871422,-0.556618,2
2.179993,-0.749969,2
1.453914,-1.50953,2
1.405446,-1.857779,2
-1.978359,-0.348887,2
-0.57567,-2.244051,2
-2.318751,-0.102404,2
2.335523,-0.099567,2
-1.889683,-0.680873,2
-1.084547,-1.979792,2
-2.258136,-0.576793,2
-1.309923,-1.692415,2
-2.021331,-0.682401,2
1.702937,-1.510705,2
1.258124,-1.491754,2
-2.203535,-0.245257,2
-1.062651,-1.766871,2
2.273137,-0.06969,2
0.76735,-2.06149,2
0.454008,-2.240766,2
2.01409,-0.545492,2
0.853952,-2.081469,2
-1.982086,-0.295465,2
-1.005143,-1.861135,2
0.808248,-2.180135,2
0.084809,-2.163809,2
0.873401,-2.114756,2
-0.783665,-1.826857,2
1.886334,-0.148327,2
-0.84779,-1.745891,2
-2.227161,-0.620868,2
1.580886,-1.348279,2
-1.245778,-1.789288,2
0.538733,-2.048663,2
-0.028736,-2.136206,2
-1.16985,-1.9121,2
0.012824,-1.89715,2
-0.36022,-2.176449,2
-1.519338,-1.038005,2
0.666706,-2.032796,2
1.69728,-0.768671,2
1.191084,-1.735779,2
1.675578,-1.147226,2
1.394261,-1.429837,2
1.581724,-1.592606,2
-0.80061,-1.909636,2
-0.803906,-2.107343,2
1.580655,-1.772092,2
-1.362382,-1.867553,2
1.712559,-0.743865,2
0.060807,-2.258161,2
-0.182356,-1.841669,2
-0.861933,-2.189818,2
1.85098,-0.554623,2
2.069769,-0.021183,2
-2.02534,-0.819806,2
2.115122,-1.114943,2
1.704441,-1.629846,2
-0.629899,-2.227671,2
0.821626,-1.859087,2
0.879545,-2.046069,2
1.95133,-0.722472,2
2.060756,-0.66492,2
-0.7536,-2.240861,2
-0.172914,-2.248656,2
1.085948,-1.495359,2
0.894509,-2.164669,2
2.203555,-0.282061,2
1.234779,-1.412033,2
-0.874604,-1.794564,2
0.03018,-2.040517,2
-1.618401,-1.478813,2
1.431567,-1.858018,2
0.806906,-1.808066,2
-0.034642,-2.164883,2
0.636203,-2.064201,2
1.861587,-0.594415,2
0.485991,-2.131435,2
-1.081605,-1.473074,2
1.518851,-1.131193,2
-0.640921,-2.218625,2
-2.177572,-0.411268,2
-0.578641,-2.040479,2
2.027761,-0.930926,2
1.828632,-1.550251,2
-1.770522,-1.470543,2
-1.194226,-1.730276,2
0.138415,-2.014583,2
-1.018006,-1.60783,2
1.992254,-1.103715,2
1.885678,-0.78645,2
-0.108757,-2.08124,2
1.944495,-0.129123,2
-1.369905,-1.197773,2
-0.945017,-1.715927,2
-1.838488,-0.240263,2
-0.694373,-1.76089,2
-1.922263,-0.164429,2
-1.274484,-1.604231,2
-0.239841,-2.015189,2
-1.602298,-0.803416,2
-1.918468,-0.527871,2
-1.864927,-0.549081,2
-0.831973,-1.923386,2
1.75275,-1.081931,2
0.3141,-1.996238,2
0.947228,-1.953192,2
0.510549,-2.169402,2
0.078557,-2.091634,2
-1.852589,-1.40934,2
-1.928513,-0.716584,2
2.003887,-0.591358,2
-1.674425,-0.985891,2
1.936729,-0.277914,2
-1.858247,-0.284097,2
-1.295236,-1.901573,2
-1.268167,-1.688926,2
-1.898354,-0.26108,2
2.321885,-0.033441,2
-1.824814,-1.168815,2
-1.533917,-1.726094,2
-0.35435,-2.114695,2
-1.48259,-1.220657,2
-0.423849,-2.25768,2
-2.114039,-0.47963,2
-0.495636,-2.057389,2
-1.799449,-0.873785,2
1.807679,-1.49563,2
1.738496,-1.42912,2
0.94913,-1.91489,2
2.050023,-0.272991,2
-0.562329,-2.278901,2
0.391871,-2.008048,2
1.796665,-0.760862,2
-2.013395,-0.035771,2
-1.834843,-0.562819,2
1.153061,-1.957217,2
0.888949,-2.211017,2
-1.822125,-1.106774,2
-1.141816,-1.826008,2
1.53032,-1.414385,2
-0.809002,-1.77057,2
-1.554886,-1.492087,2
-1.702307,-1.453143,2
-2.124616,-0.955515,2
1.965081,-0.758701,2
-1.956048,-1.052726,2
-1.751582,-0.761014,2
0.163691,-1.929002,2
2.137718,-0.937655,2
0.363001,-2.312532,2
2.031417,-0.381147,2
-0.419432,-2.225754,2
1.29065,-1.410528,2
-1.771132,-0.800123,2
1.978412,-0.078655,2
2.011871,-0.152295,2
-1.642769,-0.862217,2
-1.796492,-0.996227,2
2.041803,-1.108456,2
-1.924379,-1.281212,2
-1.13815,-1.46021,2
-0.895158,-1.874727,2
-1.839245,-0.817472,2
1.58161,-1.649888,2
1.926648,-1.058277,2
-1.815723,-0.407104,2
1.73104,-1.525931,2
-1.699573,-1.162835,2
-2.231334,-0.279334,2
-1.416775,-1.327647,2
-1.41139,-1.619857,2
1.941862,-0.660002,2
1.632807,-1.347463,2
1.998085,-0.543147,2
2.210479,-0.259806,2
-2.077536,-0.267688,2
-2.042766,-0.079501,2
1.624225,-0.958483,2
0.191001,-2.162469,2
-1.511514,-1.230184,2
0.892339,-1.935102,2
-1.853896,-0.530087,2
1.331628,-1.582201,2
-1.973535,-1.251677,2
1.156048,-1.447184,2
-1.999438,-1.21885,2
-0.786289,-2.219501,2
0.346938,-2.09611,2
1.663436,-1.562979,2
-0.812612,-1.652226,2
2.010874,-0.617865,2
-0.294834,-2.303901,2
1.084412,-1.856139,2
-1.510855,-1.624829,2
-1.806732,-0.045907,2
2.200726,-0.645805,2
-0.624111,-2.013159,2
-0.040762,-2.150074,2
-1.851076,-0.094172,2
1.916628,-0.36879,2
-0.401268,-2.12314,2
-1.432156,-1.118179,2
2.132064,-0.692956,2
-0.101661,-2.298962,2
-2.000319,-0.921251,2
1.041938,-1.574227,2
1.573069,-1.050955,2
1.544035,-1.664531,2
2.212826,-0.823096,2
1.770873,-1.270964,2
1.850493,-0.572643,2
0.454886,-1.961559,2
1.609241,-1.031372,2
1.5331,-1.777308,2
1.37512,-1.389095,2
2.271857,-0.680486,2
-0.353805,-1.968343,2
-0.402282,-1.812958,2
1.338233,-1.720374,2
0.599071,-2.154696,2
0.320859,-1.850844,2
1.899784,-0.814262,2
0.267961,-2.094705,2
0.686276,-2.186386,2
1.800037,-1.471541,2
1.224583,-1.717514,2
2.009437,-0.433403,2
1.187871,-1.414547,2
2.196939,-0.590636,2
-0.474569,-1.882277,2
2.066652,-0.223613,2
-2.283947,-0.13854,2
0.09763,-1.823814,2
1.282003,-1.515698,2
-2.211916,-0.302601,2
1.543496,-1.829317,2
-1.951014,-1.154848,2
0.647434,-1.75744,2
-1.816562,-0.204629,2
-1.310082,-1.84396,2
-0.987017,-1.829705,2
-1.770832,-0.658887,2
-2.169527,-0.089284,2
1.896492,-1.319152,2
-2.280107,-0.092884,2
1.128399,-1.577336,2
-2.194966,-0.134284,2
1.435054,-1.351009,2
-1.943672,-1.213175,2
0.362546,-1.897722,2
1.946824,-0.856687,2
0.204162,-2.167546,2
1.764561,-1.276048,2
-2.034549,-0.661591,2
2.021623,-0.315808,2
-1.602933,-1.31976,2
-1.680883,-1.206002,2
-2.054733,-0.596349,2
0.488604,-2.081075,2
2.171931,-0.397544,2
0.58851,-2.135644,2
2.095404,-0.834041,2
1.857619,-0.404175,2
2.059924,-1.206218,2
-1.980972,-1.191368,2
1.691869,-1.624327,2
0.460464,-1.869034,2
-1.76424,-0.47025,2
1.801119,-0.47417,2
0.999815,-2.028851,2
-1.647005,-1.314143,2
0.12989,-2.072561,2
1.157678,-1.809962,2
-1.794228,-0.201094,2
0.460471,-2.326785,2
0.174849,-1.849353,2
-0.924216,-1.773252,2
0.061618,-1.842466,2
1.050002,-1.534627,2
-0.509959,-2.182583,2
0.665078,-2.059436,2
2.273954,-0.532991,2
-2.109243,-0.237226,2
1.551183,-1.144141,2
-1.510836,-1.239265,2
1.527138,-1.453529,2
0.079772,-2.170927,2
-1.675477,-1.391447,2
0.180534,-1.996024,2
-0.465428,-1.901906,2
-1.935958,-0.64312,2
1.020776,-2.007996,2
-1.557629,-0.942325,2
1.804805,-0.521106,2
-0.976708,-2.03496,2
0.360661,-1.867176,2
-1.433196,-1.206096,2
-1.834257,-0.694833,2
2.144649,-0.431363,2
-0.941686,-1.75684,2
2.178224,-0.586544,2
2.29755,-0.723473,2
-2.248044,-0.488783,2
0.359776,-2.159283,2
0.736896,-1.966343,2
-1.209225,-1.343626,2
1.041484,-1.859917,2
2.039782,-0.367688,2
1.059077,-2.059781,2
0.425681,-2.29083,2
1.386259,-1.392268,2
0.098136,-2.145934,2
0.612571,-2.086014,2
-0.974248,-2.10224,2
1.198824,-1.731179,2
-0.697292,-1.835142,2
2.35834,-0.198862,2
-1.917408,-1.206751,2
2.246976,-0.423657,2
-0.851805,-1.945003,2
2.061665,-0.063021,2
0.828662,-1.995545,2
1.627709,-1.617597,2
-2.300459,-0.029711,2
0.513842,-2.151698,2
-1.546609,-1.121423,2
-2.185774,-0.32322,2
-2.134847,-0.237457,2
2.232626,-0.502017,2
-0.441734,-1.779793,2
-0.925402,-1.566519,2
1.857467,-0.442907,2
1.798381,-0.645306,2
1.392455,-1.786003,2
1.919666,-1.419258,2
1.289269,-1.413463,2
-0.185369,-2.360914,2
-0.337558,-2.142124,2
-0.718866,-1.885305,2
0.983161,-1.72407,2
2.005051,-0.535208,2
-1.454964,5.142118,3
-1.057988,-5.410215,3
4.307847,1.268187,3
3.1095,-2.005986,3
3.993878,0.824427,3
-0.614424,3.765698,3
-3.649076,-2.347055,3
4.224283,-0.59997,3
-4.015337,-0.278058,3
-1.514353,-3.334022,3
-1.807919,2.899983,3
2.144544,-4.322139,3
-3.772723,-1.604135,3
1.670984,-3.482231,3
-2.0577,3.75302,3
-0.157593,-5.023431,3
4.39268,0.511083,3
4.340898,-0.940292,3
-1.945673,-4.473274,3
-0.691393,3.89048,3
2.482026,3.651568,3
1.64516,4.130759,3
3.103933,3.460524,3
4.135757,-3.182908,3
1.359533,-4.749443,3
-2.487134,2.682149,3
-3.482033,3.37677,3
3.515435,2.013046,3
-3.827125,-3.868041,3
-3.156754,-2.668298,3
-0.398425,-4.603268,3
1.124422,4.926524,3
-2.158504,-3.315526,3
-1.493861,4.731661,3
3.3572,1.512401,3
-1.028914,-5.374847,3
2.502521,-2.765907,3
5.2247,0.122577,3
4.208534,-2.992444,3
-4.621843,-0.818729,3
1.032722,-3.927379,3
4.246743,-1.359394,3
0.342731,3.379204,3
4.090943,-3.536839,3
1.761767,-4.811668,3
-3.984736,-0.129234,3
-4.633099,0.510229,3
2.4643,3.08406,3
-0.746093,5.554849,3
2.980517,3.458137,3
5.305989,1.280254,3
2.151635,2.930364,3
3.404736,4.448072,3
-5.525762,0.203072,3
3.045358,-4.411187,3
2.297611,4.518647,3
-1.827659,3.558264,3
0.621217,4.008708,3
2.114488,-5.191535,3
5.129406,-1.12811,3
0.521905,4.607341,3
0.697677,4.996593,3
0.716482,4.892395,3
0.08838,-4.701551,3
5.178028,-0.099189,3
0.608955,-4.789736,3
-3.928413,0.607126,3
0.693944,4.924843,3
1.136491,-3.429504,3
0.399542,-3.734183,3
-5.116546,0.523269,3
-4.395169,-2.406914,3
3.341635,-0.861689,3
4.298648,-0.519804,3
-2.533035,3.574784,3
0.636524,-3.518375,3
-1.522415,-4.995999,3
2.989922,-3.406694,3
-1.048461,-4.540681,3
3.897135,3.313877,3
-0.649525,3.987922,3
4.264501,-3.253347,3
-0.012066,-4.172751,3
3.435851,2.473377,3
-4.178479,2.514811,3
3.814151,2.124075,3
0.157232,-5.246528,3
3.315307,-2.271017,3
3.223892,-1.498989,3
3.788325,2.061579,3
-1.573978,-5.124441,3
-2.748547,-1.97436,3
3.647793,-1.214075,3
-3.342702,-3.932749,3
-3.158986,4.306411,3
3.455762,2.399342,3
1.248025,5.441773,3
-0.230799,4.906768,3
1.568444,3.868798,3
-3.939905,2.88957,3
2.219289,-4.51779,3
4.097978,-3.082607,3
-4.166587,3.197442,3
-3.084609,1.878269,3
2.059718,-4.018763,3
-0.005392,-3.941409,3
-2.099765,3.411461,3
-4.105439,1.721475,3
-2.02514,4.889679,3
2.560278,-3.74619,3
-2.167205,-3.637265,3
-3.127038,-1.840672,3
0.886786,4.378302,3
-1.231906,-3.424565,3
4.626334,2.646779,3
-0.072989,-3.553949,3
-4.766063,-0.734636,3
5.155728,0.337572,3
-4.749668,2.060242,3
3.803113,2.162787,3
-2.352155,-2.857935,3
4.541931,-2.477303,3
5.009096,-0.638909,3
-2.686153,2.236018,3
-2.874024,-2.359627,3
4.47711,-3.340618,3
-3.883234,3.955596,3
1.571626,-4.224458,3
-4.727356,-2.847637,3
-4.694419,0.976321,3
-1.856122,-3.286803,3
2.304122,3.068464,3
4.142364,0.762487,3
0.063617,3.942004,3
-2.551387,-2.985549,3
-2.011636,-3.380676,3
-1.392731,-4.757009,3
0.705523,-3.400412,3
2.55637,-2.376142,3
-3.786416,0.44997,3
-4.396744,1.955324,3
-1.796703,3.343624,3
-1.14588,4.17884,3
1.098441,3.451823,3
-3.37885,-3.943839,3
2.402568,3.117843,3
4.971955,2.388381,3
0.527584,-4.931275,3
4.75753,0.501347,3
-2.935606,1.827261,3
3.540236,1.152304,3
3.779077,3.788709,3
0.025845,-5.120563,3
-3.957688,0.255121,3
-4.1205,1.853676,3
0.369338,-3.885781,3
-4.844107,0.790747,3
-3.99064,-1.906975,3
-1.652557,3.980771,3
1.583603,-4.905391,3
0.56006,-5.333004,3
0.637274,-5.146637,3
-4.238557,-3.098603,3
-4.130225,-0.517695,3
-1.163066,4.192217,3
-5.030886,2.021914,3
-4.469395,1.63732,3
-1.417199,-4.881722,3
-5.011148,-1.801173,3
-3.538414,3.809207,3
4.197677,-1.042659,3
-3.398521,3.561281,3
-5.500841,-0.66854,3
-0.189141,-5.240798,3
-4.721846,-1.997895,3
-2.920718,-2.476776,3
0.915377,-3.590932,3
-3.70595,-1.913194,3
-4.904933,1.642851,3
3.099472,1.727165,3
4.036285,1.73022,3
4.312088,0.625274,3
4.174728,0.063557,3
0.539058,3.417818,3
0.245817,4.261828,3
-1.769832,-3.65638,3
-2.070978,4.088372,3
0.984524,-5.373098,3
4.049024,0.762831,3
-3.852735,1.396601,3
-0.103536,3.487649,3
-0.314584,-3.536296,3
-1.587582,-4.41766,3
3.438181,0.571926,3
0.328262,4.859914,3
-4.019863,-2.011318,3
3.469725,-4.343079,3
-0.307926,-4.600485,3
3.749145,-0.409156,3
-3.264076,-2.247777,3
-3.240823,1.758011,3
1.118131,4.525397,3
-4.294591,-0.664096,3
-1.315361,-4.337845,3
-3.834311,3.245377,3
4.044866,-3.003364,3
-2.414782,4.131445,3
-4.423881,-1.481496,3
1.04222,4.701931,3
0.994643,-3.736707,3
-4.163457,2.140194,3
-0.538123,4.573395,3
-1.732222,-4.027627,3
4.433091,2.833937,3
-0.134417,4.731732,3
1.428018,4.465546,3
3.786082,3.472025,3
-3.443343,3.847498,3
-5.196499,2.067562,3
1.335295,3.098824,3
-3.616696,-3.477023,3
-0.181373,4.871429,3
-4.786591,-0.844749,3
1.291331,4.256059,3
-4.867881,-2.288487,3
5.255311,-1.950482,3
-4.783878,-0.116615,3
-3.18781,3.701478,3
-2.082602,4.348897,3
3.17938,3.381416,3
3.784269,-4.147294,3
2.082186,4.016915,3
-2.098295,4.952257,3
-3.657642,-3.86259,3
1.802574,-3.771468,3
-0.193213,-5.433493,3
-3.425752,-3.824569,3
5.078938,-1.185982,3
4.176053,2.020527,3
1.577394,5.153633,3
3.037899,-1.726801,3
0.769394,4.466959,3
-2.624349,-4.108419,3
-4.705078,-2.331986,3
-0.672801,3.887982,3
0.215083,-5.151122,3
0.775767,5.303081,3
-2.843862,4.608714,3
2.855857,-4.604449,3
4.108896,-2.292351,3
-2.219539,3.164832,3
1.92712,3.218188,3
-2.294762,-3.406386,3
-3.943791,-2.209948,3
-3.933201,-3.513351,3
-0.355724,5.592032,3
-0.843293,-4.944807,3
-3.426324,3.247354,3
-3.393198,-3.126066,3
0.493108,-4.396018,3
4.327801,-0.827873,3
-5.032301,-1.382829,3
-1.001917,5.354791,3
-2.476494,-2.359788,3
-0.141373,5.293388,3
-0.873001,-4.689061,3
0.298258,-5.286402,3
-3.962532,-2.92407,3
-2.373395,-3.693579,3
-4.466019,-3.30514,3
-3.196719,1.867964,3
-3.7348,0.392571,3
-1.12561,-4.716407,3
5.248001,-1.511341,3
3.473689,0.169366,3
0.909699,-4.51316,3
3.224538,-1.773242,3
0.471891,4.961109,3
2.148231,-4.429352,3
-2.832833,-2.662434,3
0.923365,-3.517343,3
-1.20009,3.989032,3
5.073377,1.807356,3
5.036181,-0.998216,3
-3.191922,-4.575779,3
3.474235,2.538598,3
1.144661,-4.09429,3
2.563717,-3.4023,3
-1.528566,4.547806,3
2.052916,-2.884006,3
-2.252782,2.792855,3
0.165211,-4.878264,3
-4.675804,-1.852937,3
-5.264599,-1.071051,3
4.625187,-0.886732,3
-3.624263,-1.325026,3
-4.676864,-1.303118,3
-3.067194,4.650112,3
5.020367,-2.242836,3
-1.546533,-3.103595,3
-1.183762,-3.888476,3
-2.514612,4.005528,3
-4.78008,-1.642891,3
3.178368,-4.152773,3
4.945418,1.976126,3
0.482009,4.627582,3
-3.42177,-4.440338,3
3.195401,4.01536,3
-3.376025,3.383971,3
1.435196,-3.861487,3
-4.963161,0.94396,3
-3.72226,0.906526,3
4.270319,-0.25118,3
3.658062,4.177296,3
-2.166564,-4.388448,3
0.077212,4.81514,3
-3.583014,2.473071,3
-5.350883,1.490056,3
-4.006751,0.912278,3
1.909194,4.472682,3
2.98795,4.328595,3
-0.35052,4.157332,3
-4.015666,2.503704,3
-0.934098,3.362504,3
-3.225395,2.806328,3
1.920761,3.517691,3
1.058463,4.566184,3
5.501498,-0.176469,3
-2.308069,-3.622083,3
-2.517668,4.884825,3
-4.184185,-0.842121,3
5.431637,1.163073,3
2.473424,-3.131485,3
3.58495,-3.27207,3
2.313295,-3.555453,3
-2.777919,3.160164,3
-0.392964,4.401542,3
-1.821104,-5.122147,3
2.757552,4.331152,3
3.774232,2.981614,3
0.479069,3.63688,3
-2.567402,-3.00276,3
2.666284,4.293456,3
-4.736668,0.152002,3
-0.491101,-4.301079,3
5.184942,-0.831397,3
-2.758592,3.904269,3
4.879527,0.226911,3
-3.543537,-1.981764,3
-2.982934,2.214819,3
-3.846243,2.27059,3
1.51369,5.00385,3
-3.464421,-1.607277,3
